movie_id,genre_id
1392190,1
1392190,2
1392190,4
1392190,5
808151,12
808151,5
800369,1
800369,2
800369,3
397892,2
397892,7
397892,8
397892,14
397892,9
436339,1
436339,2
436339,7
436339,8
436339,9
436339,3
436339,4
1646987,1
1646987,2
1646987,3
1077368,8
1077368,3
1077368,18
2381249,1
2381249,2
2381249,5
780653,14
780653,3
780653,18
780653,5
918940,1
918940,2
918940,14
918940,11
389790,2
389790,7
389790,8
389790,9
1302011,1
1302011,2
1302011,7
1302011,8
1302011,9
938283,1
938283,2
938283,9
938283,3
317919,1
317919,2
317919,5
2334879,1
2334879,14
2334879,5
1305591,1
1305591,2
1305591,7
1305591,8
1305591,9
1305591,4
424095,2
424095,7
424095,8
424095,9
864835,2
864835,7
864835,8
864835,9
864835,4
332452,2
1277953,2
1277953,7
1277953,8
1277953,9
246460,1
246460,2
246460,5
120591,1
120591,2
120591,4
120591,5
120912,1
120912,2
120912,8
120912,9
120912,3
120912,12
120912,4
442933,1
442933,2
442933,7
442933,3
2267968,1
2267968,2
2267968,7
2267968,8
2267968,9
1229238,1
1229238,2
1229238,5
1446192,2
1446192,7
1446192,9
1446192,3
369441,8
369441,17
325710,1
325710,14
325710,15
325710,19
796366,1
796366,2
796366,4
145487,1
145487,2
145487,3
145487,11
1646971,1
1646971,2
1646971,7
1646971,8
1646971,9
1646971,3
2404233,1
2404233,2
2404233,3
382992,1
382992,2
382992,4
382992,5
409459,1
409459,14
409459,12
409459,4
122151,1
122151,17
122151,5
286716,1
286716,4
1583421,1
1583421,2
1583421,4
1583421,5
318649,1
318649,2
318649,8
318649,5
173840,1
173840,2
173840,7
173840,3
173840,11
173840,4
458339,1
458339,2
458339,4
143145,1
143145,2
143145,5
311113,1
311113,2
311113,14
311113,15
311113,19
1402488,7
1402488,8
1402488,9
1402488,10
800080,1
800080,2
800080,4
86759,1
86759,17
86759,14
86759,12
86759,5
3691740,2
3691740,9
3691740,3
1663202,2
1663202,14
1663202,5
1663202,13
1860353,2
1860353,7
1860353,8
1860353,9
1860353,16
1192628,2
1192628,7
1192628,8
1192628,9
1192628,13
1911658,2
1911658,7
1911658,8
1911658,9
440963,1
440963,12
440963,5
441773,1
441773,2
441773,7
441773,8
441773,9
478970,1
478970,2
478970,8
478970,4
1951264,2
1951264,4
1951264,5
1673434,2
1673434,14
1673434,3
1673434,11
407304,2
407304,4
407304,5
172156,1
172156,8
172156,17
172156,5
448694,1
448694,2
448694,7
448694,8
448694,9
448694,3
944835,1
944835,17
944835,12
944835,5
1959490,1
1959490,2
1959490,14
983193,1
983193,2
983193,9
983193,12
304141,2
304141,9
304141,3
304141,12
455824,2
455824,14
455824,11
455824,19
1815862,1
1815862,2
1815862,4
130623,2
130623,7
130623,9
130623,5
1680310,1
1680310,3
2692250,2
2692250,8
2692250,9
2692250,3
1001526,1
1001526,7
1001526,8
1001526,9
1001526,4
241527,2
241527,9
241527,3
790736,1
790736,8
790736,3
4262980,1
4262980,2
4262980,14
4262980,18
4262980,4
325980,1
325980,2
325980,3
1571403,3
1951265,2
1951265,4
1951265,5
382625,12
382625,5
2357291,2
2357291,7
2357291,8
2357291,9
2357291,10
290334,1
290334,2
290334,3
290334,4
290334,5
1596343,1
1596343,17
1596343,5
1515091,1
1515091,2
1515091,17
1515091,12
1515091,5
120657,1
120657,2
120657,15
1194173,1
1194173,2
1194173,5
118688,1
170016,8
170016,9
170016,3
319262,1
319262,2
319262,4
319262,5
120755,1
120755,2
120755,5
177971,1
177971,2
177971,14
177971,5
486576,1
486576,2
486576,4
486576,5
454876,2
454876,14
454876,3
259324,1
259324,3
259324,5
4196776,1
4196776,5
305357,1
305357,2
305357,8
305357,17
1446714,2
1446714,12
1446714,4
243585,2
243585,7
243585,8
243585,9
243585,3
1535108,1
1535108,14
1535108,4
1535108,5
296572,1
296572,2
296572,4
296572,5
811080,1
811080,9
811080,16
1341188,8
1341188,14
1341188,11
1013743,1
1013743,8
1013743,11
1483013,1
1483013,2
1483013,12
1483013,4
121766,1
121766,2
121766,3
121766,4
121765,1
121765,2
121765,3
121765,4
198781,2
198781,7
198781,8
198781,9
198781,3
1430132,1
1430132,2
1430132,4
1430132,5
120915,1
120915,2
120915,3
120915,4
481499,2
481499,7
481499,8
481499,9
481499,3
463872,2
463872,8
463872,9
463872,3
245562,1
245562,14
245562,19
2381991,1
2381991,2
2381991,14
2381991,3
1454468,2
1454468,14
1454468,4
1454468,5
118928,1
118928,2
118928,5
3949660,1
3949660,2
3949660,8
3949660,4
477347,1
477347,2
477347,8
477347,9
477347,3
2126355,1
2126355,2
2126355,14
2126355,5
120347,1
120347,2
120347,5
187393,1
187393,14
187393,15
187393,19
349903,17
349903,5
356910,1
356910,8
356910,17
356910,11
356910,5
2908446,2
2908446,4
2908446,5
338751,20
338751,14
1320261,2
1320261,8
1320261,9
1320261,3
990407,1
990407,8
990407,17
990407,4
990407,5
84967,1
84967,2
84967,17
1253863,1
1253863,14
1253863,3
1253863,19
472181,2
472181,7
472181,8
472181,9
472181,3
299172,7
299172,8
299172,9
299172,21
299172,13
3410834,1
3410834,2
3410834,12
3410834,4
3410834,5
433035,1
433035,14
433035,4
433035,16
2017020,2
2017020,7
2017020,8
2017020,9
2017020,3
120179,1
120179,17
120179,11
120179,5
1731141,1
1731141,4
337978,1
337978,2
337978,5
120737,1
120737,2
120737,14
120737,3
248667,20
248667,14
248667,16
312528,2
312528,8
312528,9
312528,3
343818,1
343818,12
343818,4
343818,5
320661,1
